name,item_description
"Pokémon pearl, diamond, platinum",Pokémon games for sale
Red Wii or Wii U Remote Controller,This remote is offbrand but works great. It also has motion plus built-in so no need for a clunky adapter on the bottom of it. Price is firm.
Madden 17 for ps3,Madden 17 for ps3 in great condition
Wii Rock Band 3,No description yet
Okami Wii,Good used condition.
Lego batman,No description yet
Ps2 Ty the Tasmanian Tiger,As is. Game is scratched but works. Playstation 2
Until Dawn (PS4),Until Dawn for PS4. This game was so much fun i played it for hours upon hours and it still kept me on the edge of my seat with its fast paced style. You could be doing just fine and then you press one wrong button and you could very easily kill your character and change the whole story. It was a blast to play. Disc is in basically new condition with no scratches and box is in good condition. It had a long story that made me want to keep playing. Really good game if you like horror.
Call of Duty Black Ops 2 PS3 Free Ship,Good condition free ship
Nintendo game cube,Minority report Have a used game and it was tested and working
Rescue Copter Playstation 1 PS1 CIB,"Like new condition, complete with case and manual! Some small blemishes/scratches on disc from normal use. Tested to game play, works great!"
Wii u just dance 2016,Tested
Super Smash Bros Wii U,"Played about 3 times, in perfect condition :)"
Street Fighter Alpha 3 for ps1,Street Fighter Alpha 3 for ps1. The game is in excellent condition fully clean and playable. Free shipping.
MAFIA 3 III FOR PS4 PLAYSTATION 4 NEW,Brand new sealed Fast free shipping with tracking Price is firm
1080 snowboarding for Nintendo 64,1080 snowboarding for Nintendo 64 in great condition. Game plays great. View photos for label condition. Check my profile for other great games and deals. Bundle items and save more.
GTA 5 Jnov,Brand new factory sealed For ps4
Nintendo DS,Nintendo 3DS super Mario
Assassin's Creed Syndicate,"Great game, one of my favorites the fighting action is absolutely amazing."
J-Starts victory Vs+,in mint condition
Alien Landyard,Never been used.
LIKE NEW Gears of War Ultimate Xbox One,"LIKE NEW Gears of War Ultimate Xbox One Complete disc, case, original sticker. Game is like new! Not one scratch!! WE SHIP ALL ORDERS NEXT DAY!! We have a lot available and will combine items for you into one listing, to save in shipping, just drop us a message. All games have been tested!! ALL ITEMS LISTED, ARE AVAILABLE FOR PURCHASE !! Checkout our other games for PlayStation 1 2 or 3 Xbox and Xbox 360 Wii Nintendo ds We also have consoles and accessories! SHIPPING & TRACKING : All items are shipped next day !You will receive a message with tracking number. Tracking numbers will not be active until the USPS receives and scans the package at their facility. Wholesalevideogames"
Barbie Horse Adventures: Riding Camp Wii,"°has no dents or scratches° perfect for you, your kids, or even a collection"
Pokémon crystal version,"Not sure if it works. Very old, had it since I was a kid and saved it in my draw. Maybe fixable !"
Assassin's Creed Unity - PS4,No scratches!
New Super Mario Bros. 2 Nintendo 3DS!!,Free shipping! Game is like new and complete! Thanks!
Rapala pro bass fishing wii U,Tested and working
PSP Metal Gear Solid & Silent Hill,Metal Gear Solid Peace Walker box w/ manual looks new & Silent Hill Origins just game no box both games work great!
2disc xbox 360 Battlefield 4 game,Excellent condition Works great Ships same or next day with tracking @[rm] off each additional item shipped at same time @
UFC 2 PS4 (ON HOLD),Like brand new used 3 times owned by adult
The Crew-ultimate edition for ps4,The Crew - ultimate edition for PS4. Purchased the video game recently and only played twice. The playstation 4 video game is in excellent condition.
Mass Effect 3- Xbox 360,"Purchased at Gamestop. They are some minor scratched on disc 2, but it still plays interrupted."
Captain Toad Treasure Tracker- Wii U,"Like new, used a few times but the disc is in pristine condition."
Pokemon Alpha Sapphire,"Like new, plays perfect. I'll leave the save on there so you can get the level 100 Arceus."
Mike ditka football sega Genesis,Comes complete with manual and everything seen in pictures in good working condition
Bomberman Jetters,Tested. Works great!
Watch dogs PS4,"In great condition, I just don't play it anymore FREE SHIPPING"
MLB 2k13.,works great.
Nintendo GameCube: StarFox Assault,Game is missing manual. Disc is in near mint condition with little to zero scratches.
Two PS2 Memory Cards,No description yet
Need for Speed PS4,The game is in perfect condition it's only been used once or twice.
Private Listing for Enzoe The Witcher 3,Used The Witcher III for PS4. In excellent condition. This version includes bonus material and a poster. Amazing game! From a smoke free home. Please let me know if you have any questions!
Mario & Luigi Partners in Time Nintendo,DS game plays with no issues.
PS4 Controller Sony,Shows signs of wear one of the knobs in the remote the rubber has broken off from playing but remote works perfectly fine. Bundle to save on shipping
Lego Dimensions (parts only) PS3,There are missing pieces (characters)! Good purchase for replacement pieces! This includes Lego Dimension PS3 game and Lego Dimension platform! Can split items and change price!
GameCube super mario Bundle,No description yet
Mario party ds,No description yet
Mario sports 2 game bundle,Mario tennis open for 3ds Mario and sonic at the olympic games for ds Both are in good condition and are cartridge only.
Battlefield 1,Xbox One version. Played once or twice.
Mario kart Nintendo Wii,Complete copy in great condition
Very clean.,Very clean.
Pokemon Pearl Nintendo DS,Pokemon pearls nintendo ds game
Super mario world SFC,Super Famicom game Plays on retron systems
Ninjago 3ds Bundle,2 Ninjago Games
Pokemon White 2 case & Manual ONLY,Pokemon White 2 case and manual only NO game. *Price firm/No holds/No trades/ No free shipping *
Namco Museum,"Nintendo GameCube Classic. Thoroughly tested and works great. Bundle with other games and save $$$. Check out my other games. We have Nintendo, SNES, Sega, PlayStation, PS2, PS3, PS4, Vita, Xbox, and more."
UFC 2 Xbox One Used,In great condition
Gameboy games,Lot of 6 game boys Harry Potter Fantastic four Dogs Unfabulous I spy Splinter cell
Guitar Hero XBox (2) Guitars,This is for both guitars. My son is off to College. He just played it this weekend so everything works. Thanks
LIKE NEW Final Fantasy VII PLAYSTATION 7,"From a private collection. Game is mint . Case, inside & out, manual, and all discs, are absolutely perfect ! You will not find a better condition Game ! SHIPPING DISCOUNT : Bundle and save !! It's simple ! :) Check out all our games , tell us what you want, we will make a listing for you. Our shipping price is: 1 game [rm] 2-10 games [rm] 11 or more games [rm] ALL ITEMS LISTED, ARE AVAILABLE FOR PURCHASE !! Checkout our other games for PlayStation 1 2 or 3 Xbox and Xbox 360 Wii Nintendo ds We also have consoles and accessories! SHIPPING & TRACKING : All items are shipped in 1-2 days off purchase. You will receive a message with tracking number. Tracking numbers will not be active until the USPS receives and scans the package at their facility. Wholesalevideogames"
Castlevania Order Of Ecclesia,No case Nintendo 3ds Adventure Game
Uncharted 4 (PS4),No description yet
Madden 08 for PS3,"Madden 08 for PS3. Game is in good condition, goes with what you see"
Ty the Tasmanian tiger 2 GameCube,Ty the Tasmanian tiger 2 bush rescue for Nintendo GameCube. CIB Any questions please ask
Pokémon ds combo,Nintendo ds Pokémon soul silver and heart and gold . Both are great shape Both work great . 40 each Or both for 75 Price is firm . Like really really firm. Like if you ask for any less I will block you firm.
Xbox One Controllers Games Bundle,Xbox one NFL football grip controller (wired) Xbox one original black controller (wireless) Titan Fall video game (like new) Evolve video game (like new)
Mario Power Tennis for Wii,CIC disc has some scratches but plays perfect!
Metro Redux PS4,Metro 2033 and Last Light Redux for Sony PlayStation 4.
Fallout 4 Xbox One,☆Like new! No damage to case or disc! Fallout 4 for Xbox One ☆Preowned goes for [rm] @ Gamestop (pic 4) Feel free to ask any questions or make an offer :)
Xbox Games,8 dollars each. Let me know what you want? If you want Bundle I will negotiate.
Pokemon Go Plus Bracelet Device,"⛔FIRM PRICE!⛔ ⚠App Fee Charge 10% and I PAY SHIPPING!⚠ ❌NO HOLDS!❌ Brand New sealed in box! Pokemon Go Plus Bracelet Wristband watch! For Apple iOS, Androids & all Smartphones Great gift for catching gen 2 Pokemon now!"
PS3 GAME DIABLO Reaper of Souls,Good working condition!
Ratchet bundle and crash ps2,Ratchet deadlocked Ratchet and clank up your arsenal No free ship both cib
The Simpsons - Hit & Run (Xbox/Xbox 360),"STILL AVAILABLE - Make an Offer ! Like New! No signs of serious usage and works like it was just purchased. It is an Original Xbox game but is perfectly compatible with an Xbox 360 console. ""Drive yourself crazy in lawless fender-benders and chaotic head-on collisions as your favorite Simpsons character."""
Free ship* WWF Royal Rumble snes game,"Royal Rumble Original snes game Label in great shape Game cleaned and tested Ships in bubble wrap, next day when available"
6 Game Gear Games,Hi there! Here are six more Game Gear games. All are clean. Thank you!
CALL OF DUTY PS4,"Call of duty Ghosts PlayStation 4 pre owned but perfect condition. No scratches, just a few fingerprints but they won't effect the game play. RATED M"
Gears of war Xbox 360,Gears judgement 360 but can be played on Xbox one
"Madden,2k,call of duty",No description yet
Star Wars Bundle XBOX,"Tested and working! Lego Star Wars 2 Star Wars Obi-Wan Star Wars Battlefront Star Wars Knights of the Old Republic 2 Star Wars Clone Wars Check out my other video games, consoles and accessories! My store is color-coded: search WHITE for XBOX!"
Super Smash Bros Brawl Wii Game,No description yet
Republique PS4,"Like new disc! Tested and working! Check out my other video games, consoles and accessories! My store is color-coded: search BLUE for PlayStation!"
Conkers bad fur day Nintendo 64,Game it great working condition it has been in my private collection for years. Comes in a hard plastic case for protection This is an original not a repro cart like others being passed around the security number is indented into the sticker on the back as proof. Serious buyers only No lowballing
